title,author,category,read_date,description,rating,review,cover_image,page_count
헝거게임,수잔 콜린스(Suzanne Collins),스리픽,2025-01-01,,5.0,,/static/uploads/12ea2ab9-f059-41dc-91d8-de6f49a04b49.jpeg,559
캣칭파이어,수잔 콜린스(Suzanne Collins),스리픽,2025-01-01,,5.0,,/static/uploads/2fb8137a-9822-4f74-94d9-8ebf734b5f09.jpeg,561
모킹제이,수잔 콜린스(Suzanne Collins),스리픽,2025-01-01,,5.0,,/static/uploads/b862c5bc-fcf9-4f2d-afd6-b5dee3b95190.jpeg,601
파운틴헤드 1,에인랜드,북클럽,2025-01-01,,5.0,,/static/uploads/2650dbb7-0c6c-4d36-940a-60fd5755614a.jpeg,862
노래하는 새와 뱀의 발라드,수잔 콜린스,스리픽,2025-01-01,,5.0,,/static/uploads/9ae084be-79a4-4026-8e95-865730c04cba.jpeg,807
본컬렉터,제프리디버,스리픽,2025-01-01,,4.0,,/static/uploads/9ec368f3-5675-4b95-aa56-84f8a16702cc.jpg,532
천개의 파랑,천선란,스리픽,2025-01-01,,2.5,,/static/uploads/371b06c3-53f3-4ff8-beec-905dfe8125e5.jpeg,120
기록이라는 세계,리니,스리픽,2025-01-01,,3.0,,/static/uploads/3344af99-5a78-4056-b25f-f756effb1832.jpg,261
마케터의 문장,가나가와 아키노리,스리픽,2025-01-01,,3.0,,/static/uploads/93b56235-eecc-42bd-baf6-f7c1d1bb69e8.jpeg,244
안나 까레니나 1,레프 니꼴라예비치 똘스또이,스리픽,2025-02-01,,5.0,,/static/uploads/95346590-2388-450d-a675-e819ca403642.jpeg,549
파운틴헤드 2,홍근표,스리픽,2025-02-01,,5.0,,/static/uploads/4a600f7b-1ad1-431c-85fc-df8dde0ec9c7.jpg,371
라쇼몬,아쿠타가와 류노스케,스리픽,2025-02-01,,3.5,,/static/uploads/8361b164-e3c2-4815-b0c0-5379b0166f0c.jpeg,438
인형의집,헨리크 입센,스리픽,2025-02-01,,4.0,,/static/uploads/a1f20272-da56-4582-9823-b550e2048310.jpeg,218
모순,양귀자,스리픽,2025-02-01,,4.5,,/static/uploads/13cb58f6-b203-4092-9c84-1d7afdebf6e4.jpeg,308
홍학의 자리,정해연,스리픽,2025-02-01,,4.0,,/static/uploads/79eca8b7-bb0a-4f1a-9153-521c6173386b.jpeg,336
안나 까레니나 2,레프 니꼴라예비치 똘스또이,스리픽,2025-02-01,,4.5,,/static/uploads/766b93af-6a00-4947-9cbb-2f53da1f3c8e.jpeg,706
콘클라베,로베르토 파치,스리픽,2025-03-01,콘클라베 책을 읽고 영화도 보고 나서 얼마 안되어서 새로운 교황이 선출됐다. 신기한 타이밍.,0.0,숭고한 자리에 오르기 위한 상당히 추잡스런 정치적 암투. 마지막엔 감동까지 알뜰히 챙겨준다.,/static/uploads/018ace6c-362c-4eb4-bf1c-dc9ef98aab39.jpeg,354
