title,author,category,read_date,description,rating,review,cover_image,page_count
헝거게임,수잔 콜린스(Suzanne Collins),스리픽,2025-01-01,기막히게 창의적인 디스토피아 판타지의 시작. 게다가 주인공이 여자잖아? 온 세계 소녀들이 꼭 읽었으면 좋겠다.,5.0,용감한 캣니스에게 반해버렸다. 동생을 위해 사지로 나가는 언니라니. 나는 동생이라서 1권의 배경과 캣니스의 선택에 더욱 몰입할 수 있었다.,/static/uploads/12ea2ab9-f059-41dc-91d8-de6f49a04b49.jpeg,559
캣칭파이어,수잔 콜린스(Suzanne Collins),스리픽,2025-01-01,저기요 어른들? 거짓말 하지 말라니까요?,5.0,"또다시 헝거 게임에 참여하게 되는 기구하고 불쌍한 운명의 캣니스. 시스템에 도전하는, 용감하고 멋진 우리 캣니스가 '요주의 인물' 딱지를 받아버렸다. 그리고 그 와중에 선을 넘지 않는 로맨스까지.",/static/uploads/2fb8137a-9822-4f74-94d9-8ebf734b5f09.jpeg,561
모킹제이,수잔 콜린스,스리픽,2025-01-01,모든 걸 다 잃은 히어로와 거기서 다시 시작하는 삶의 희망,5.0,캣니스가 감당해야하는 수많은 상실들. 가족도 친구도 다 잃은 캣니스에게 남은 건역시 피타 뿐이다. 디스토피아 세계관의 판타지답게 결말도 씁쓸한 세미해피엔딩.,/static/uploads/b862c5bc-fcf9-4f2d-afd6-b5dee3b95190.jpeg,601
파운틴헤드 1,에인 랜드,북클럽,2025-01-01,주아 언니의 추천으로 읽기 시작했다. 슴슴한데 엄청 많이 먹을 수 있는 두부과자같은 책.,5.0,"좋게 말하면 철학, 나쁘게 말하면 사회성 떨어지는 주인공 로크. 묵묵히 자기 길을 가는 그 모습이 신기해서 계속 읽게 된다. 얼른 결말을 알고 싶어서 평소보다 한 두시간 일찍 일어나서 책을 읽을 정도였다.",/static/uploads/2650dbb7-0c6c-4d36-940a-60fd5755614a.jpeg,862
노래하는 새와 뱀의 발라드,수잔 콜린스,스리픽,2025-01-01,헝거게임 시리즈의 프리퀄. 스노우 대통령의 학생 시절 이야기.,5.0,"스노우가 왜 ""헝거게임""이라는 이 미치광이 살인 게임에 깊이 개입하게 되었는지 그 시작을 알 수 있다. 한 번 잘못된 길로 들어가면 다시 되돌리기란 어려운 일이다. 아니다, 애초에 그 결정은 본성을 따르는 건가?",/static/uploads/9ae084be-79a4-4026-8e95-865730c04cba.jpeg,807
본컬렉터,제프리 디버,스리픽,2025-01-01,손가락 하나 꼼짝 못하는 신개념 탐정이 여기 있습니다,4.0,"사지가 마비되어 오로지 머리로만 승부해야하는 탐정. 메인 스토리가 탄탄하고, 사건이 발생하는 이유와 방식이 꼼꼼히 구성되어있다. 아무 것도 움직일 수 없는 주인공의 마지막 일격(!)도 흥미로웠다.",/static/uploads/9ec368f3-5675-4b95-aa56-84f8a16702cc.jpg,532
천개의 파랑,천선란,스리픽,2025-01-01,밀리에서 유명한 책이라고 해서 호기롭게 시작! 착한 마음을 가진 로봇의 이야기는 언제 들어도 슬픈 법.,2.5,소재는 좋았으나 이야기를 풀어내는 것이 진부하게 느껴졌다. 예상 가능한 결말이 아쉬웠다. 어린이용 책 같은 느낌.,/static/uploads/371b06c3-53f3-4ff8-beec-905dfe8125e5.jpeg,120
기록이라는 세계,리니,스리픽,2025-01-01,남는 건 기록 뿐! 새해를 맞아 기록을 더 잘하고 싶어서 읽은 책.,3.5,"메모나 일정 관리, 일기 쓰기 등을 한 번도 잘 해본 적 없는 사람들이 읽으면 좋을 것 같은 책. 루틴 트래커 등 다양한 기록 방법에 대해 알게 되어 좋았다.",/static/uploads/3344af99-5a78-4056-b25f-f756effb1832.jpg,261
마케터의 문장,가나가와 아키노리,스리픽,2025-01-01,잘 팔리는 글 쓰기 A to Z,3.0,"많이 읽고 많이 쓰려고 노력하는 사람으로서, 새해에 초심을 다지기에 좋았던 책.",/static/uploads/93b56235-eecc-42bd-baf6-f7c1d1bb69e8.jpeg,244
안나 까레니나 1,레프 니꼴라예비치 똘스또이,스리픽,2025-02-01,행복한 가정은 모두 비슷한 이유로 행복하지만 불행한 가정은 저마다의 이유로 불행하다.,5.0,그래 이거지! 톨스토이가 말아주는 연애 소설이 얼마나 맛있는지 다들 와서 드셔보셔요... 너무 길다구요? 도망가지 마세요,/static/uploads/95346590-2388-450d-a675-e819ca403642.jpeg,549
파운틴헤드 2,홍근표,스리픽,2025-02-01,이상주의 끝판왕 건축가 로크. 그리고 도미니크와의 파멸적인 로맨스.,5.0,"로크는 왜 이렇게 완고한지, 로크의 주변 사람들은 그를 왜 가만히 두지 않으려고 하는지 도저히 이해할 수 없었지만 그래서 더 홀린듯이 빨려들었다.",/static/uploads/4a600f7b-1ad1-431c-85fc-df8dde0ec9c7.jpg,371
라쇼몬,아쿠타가와 류노스케,스리픽,2025-02-01,음울하고 흥미로운 짧은 단편들. 일본 문학의 이런 감성은 비오는 날 잘 어울리는 듯하다.,4.0,"인간의 본성과 추악함, 그리고 따라오는 불쾌감. 기이하면서도 계속 읽게 되는 이야기.",/static/uploads/8361b164-e3c2-4815-b0c0-5379b0166f0c.jpeg,438
